,variables
65, kube_pod_status_ready_62 
66, kube_pod_status_ready_63 
67, kube_pod_status_ready_64 
68, kube_pod_status_ready_65 
69, kube_pod_status_ready_66 
70, kube_pod_status_ready_67 
71, kube_pod_status_ready_68 
72, kube_pod_status_ready_69 
73, kube_pod_status_ready_70 
74, kube_pod_status_ready_71 
75, kube_pod_status_ready_72 
76, kube_pod_status_ready_73 
77, kube_pod_status_ready_74 
78, kube_pod_status_ready_75 
79, kube_pod_status_ready_76 
80, kube_pod_status_ready_77 
81, kube_pod_status_ready_78 
82, kube_pod_status_ready_79 
83, kube_pod_status_ready_80 
84, kube_pod_status_ready_81 
85, kube_pod_status_ready_82 
86, kube_pod_status_ready_83 
87, kube_pod_status_ready_84 
88, kube_pod_status_ready_85 
89, kube_pod_status_ready_86 
90, node_sockstat_UDP_mem_bytes_0 
91, node_sockstat_UDP_mem_bytes_1 
92, node_sockstat_UDP_mem_bytes_2 
93, kafka_controller_controllerstats_leaderandisrresponsereceivedrateandtimems_count_0 
94, kafka_controller_controllerstats_leaderandisrresponsereceivedrateandtimems_count_1 
95, kafka_controller_controllerstats_leaderandisrresponsereceivedrateandtimems_count_2 
96, kafka_server_replicafetchermanager_maxlag_value_0 
97, kafka_server_replicafetchermanager_maxlag_value_1 
98, kafka_server_replicafetchermanager_maxlag_value_2 
99, alertmanager_nflog_gc_duration_seconds_0 
100, alertmanager_nflog_gc_duration_seconds_1 
101, alertmanager_nflog_gc_duration_seconds_2 
102, coredns_dns_response_size_bytes_sum_0 
103, coredns_dns_response_size_bytes_sum_1 
104, java_lang_operatingsystem_openfiledescriptorcount_0 
105, java_lang_operatingsystem_openfiledescriptorcount_1 
106, java_lang_operatingsystem_openfiledescriptorcount_2 
107, kube_pod_container_status_terminated_0 
108, kube_pod_container_status_terminated_1 
109, kube_pod_container_status_terminated_2 
110, kube_pod_container_status_terminated_3 
111, kube_pod_container_status_terminated_4 
112, kube_pod_container_status_terminated_5 
113, kube_pod_container_status_terminated_6 
114, kube_pod_container_status_terminated_7 
115, kube_pod_container_status_terminated_8 
116, kube_pod_container_status_terminated_9 
117, kube_pod_container_status_terminated_10 
118, kube_pod_container_status_terminated_11 
119, kube_pod_container_status_terminated_12 
120, kube_pod_container_status_terminated_13 
121, kube_pod_container_status_terminated_14 
122, kube_pod_container_status_terminated_15 
123, kube_pod_container_status_terminated_16 
124, kube_pod_container_status_terminated_17 
125, kube_pod_container_status_terminated_18 
126, kube_pod_container_status_terminated_19 
127, kube_pod_container_status_terminated_20 
128, kube_pod_container_status_terminated_21 
129, kube_pod_container_status_terminated_22 
130, kube_pod_container_status_terminated_23 
131, kube_pod_container_status_terminated_24 
132, kube_pod_container_status_terminated_25 
133, kube_pod_container_status_terminated_26 
134, kube_pod_container_status_terminated_27 
135, kube_pod_container_status_terminated_28 
136, kube_pod_container_status_terminated_29 
137, kube_pod_container_status_terminated_30 
138, kube_pod_container_status_terminated_31 
139, kube_pod_container_status_terminated_32 
140, node_load15_0 
141, node_load15_1 
142, node_load15_2 
143, kafka_server_fetchsessioncache_total_numincrementalfetchpartitionscached_value_0 
144, kafka_server_fetchsessioncache_total_numincrementalfetchpartitionscached_value_1 
145, kafka_server_fetchsessioncache_total_numincrementalfetchpartitionscached_value_2 
146, kafka_server_brokertopicmetrics_bytesoutpersec_count_0 
147, kafka_server_brokertopicmetrics_bytesoutpersec_count_1 
148, kafka_server_brokertopicmetrics_bytesoutpersec_count_2 
149, kafka_server_brokertopicmetrics_bytesoutpersec_count_3 
150, java_lang_memorypool_used_collectionusage_g1_old_gen_0 
151, java_lang_memorypool_used_collectionusage_g1_old_gen_1 
152, java_lang_memorypool_used_collectionusage_g1_old_gen_2 
153, kafka_server_produce_queue_size_0 
154, kafka_server_produce_queue_size_1 
155, kafka_server_produce_queue_size_2 
156, java_lang_runtime_uptime_0 
157, java_lang_runtime_uptime_1 
158, java_lang_runtime_uptime_2 
159, kafka_server_brokertopicmetrics_bytesinpersec_oneminuterate_0 
160, kafka_server_brokertopicmetrics_bytesinpersec_oneminuterate_1 
161, kafka_server_brokertopicmetrics_bytesinpersec_oneminuterate_2 
162, kafka_server_brokertopicmetrics_bytesinpersec_oneminuterate_3 
163, prometheus_sd_kubernetes_events_total_0 
164, prometheus_sd_kubernetes_events_total_1 
165, prometheus_sd_kubernetes_events_total_2 
166, prometheus_sd_kubernetes_events_total_3 
167, prometheus_sd_kubernetes_events_total_4 
168, prometheus_sd_kubernetes_events_total_5 
169, prometheus_sd_kubernetes_events_total_6 
170, prometheus_sd_kubernetes_events_total_7 
171, prometheus_sd_kubernetes_events_total_8 
172, prometheus_sd_kubernetes_events_total_9 
173, prometheus_sd_kubernetes_events_total_10 
174, prometheus_sd_kubernetes_events_total_11 
175, node_memory_AnonHugePages_bytes_0 
176, node_memory_AnonHugePages_bytes_1 
177, node_memory_AnonHugePages_bytes_2 
178, java_lang_garbagecollector_init_lastgcinfo_memoryusageaftergc_g1_young_generation_key_g1_eden_space_0 
179, java_lang_garbagecollector_init_lastgcinfo_memoryusageaftergc_g1_young_generation_key_g1_eden_space_1 
180, java_lang_garbagecollector_init_lastgcinfo_memoryusageaftergc_g1_young_generation_key_g1_eden_space_2 
181, java_lang_memorypool_max_usage_metaspace_0 
182, java_lang_memorypool_max_usage_metaspace_1 
183, java_lang_memorypool_max_usage_metaspace_2 
184, apiserver_storage_data_key_generation_failures_total_0 
185, coredns_cache_misses_total_0 
186, coredns_cache_misses_total_1 
187, java_lang_runtime_bootclasspathsupported_0 
188, java_lang_runtime_bootclasspathsupported_1 
189, java_lang_runtime_bootclasspathsupported_2 
190, java_lang_garbagecollector_duration_lastgcinfo_g1_young_generation_0 
191, java_lang_garbagecollector_duration_lastgcinfo_g1_young_generation_1 
192, java_lang_garbagecollector_duration_lastgcinfo_g1_young_generation_2 
193, process_resident_memory_bytes_0 
194, process_resident_memory_bytes_1 
195, process_resident_memory_bytes_2 
196, process_resident_memory_bytes_3 
197, process_resident_memory_bytes_4 
198, process_resident_memory_bytes_5 
199, process_resident_memory_bytes_6 
200, process_resident_memory_bytes_7 
201, process_resident_memory_bytes_8 
202, process_resident_memory_bytes_9 
203, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_42_value_0 
204, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_42_value_1 
205, kube_pod_container_status_terminated_reason_0 
206, kube_pod_container_status_terminated_reason_1 
207, kube_pod_container_status_terminated_reason_2 
208, kube_pod_container_status_terminated_reason_3 
209, kube_pod_container_status_terminated_reason_4 
210, kube_pod_container_status_terminated_reason_5 
211, kube_pod_container_status_terminated_reason_6 
212, kube_pod_container_status_terminated_reason_7 
213, kube_pod_container_status_terminated_reason_8 
214, kube_pod_container_status_terminated_reason_9 
215, kube_pod_container_status_terminated_reason_10 
216, kube_pod_container_status_terminated_reason_11 
217, kube_pod_container_status_terminated_reason_12 
218, kube_pod_container_status_terminated_reason_13 
219, kube_pod_container_status_terminated_reason_14 
220, kube_pod_container_status_terminated_reason_15 
221, kube_pod_container_status_terminated_reason_16 
222, kube_pod_container_status_terminated_reason_17 
223, kube_pod_container_status_terminated_reason_18 
224, kube_pod_container_status_terminated_reason_19 
225, kube_pod_container_status_terminated_reason_20 
226, kube_pod_container_status_terminated_reason_21 
227, kube_pod_container_status_terminated_reason_22 
228, kube_pod_container_status_terminated_reason_23 
229, kube_pod_container_status_terminated_reason_24 
230, kube_pod_container_status_terminated_reason_25 
231, kube_pod_container_status_terminated_reason_26 
232, kube_pod_container_status_terminated_reason_27 
233, kube_pod_container_status_terminated_reason_28 
234, kube_pod_container_status_terminated_reason_29 
235, kube_pod_container_status_terminated_reason_30 
236, kube_pod_container_status_terminated_reason_31 
237, kube_pod_container_status_terminated_reason_32 
238, kube_pod_container_status_terminated_reason_33 
239, kube_pod_container_status_terminated_reason_34 
240, kube_pod_container_status_terminated_reason_35 
241, kube_pod_container_status_terminated_reason_36 
242, kube_pod_container_status_terminated_reason_37 
243, kube_pod_container_status_terminated_reason_38 
244, kube_pod_container_status_terminated_reason_39 
245, kube_pod_container_status_terminated_reason_40 
246, kube_pod_container_status_terminated_reason_41 
247, kube_pod_container_status_terminated_reason_42 
248, kube_pod_container_status_terminated_reason_43 
249, kube_pod_container_status_terminated_reason_44 
250, kube_pod_container_status_terminated_reason_45 
251, kube_pod_container_status_terminated_reason_46 
252, kube_pod_container_status_terminated_reason_47 
253, kube_pod_container_status_terminated_reason_48 
254, kube_pod_container_status_terminated_reason_49 
255, kube_pod_container_status_terminated_reason_50 
256, kube_pod_container_status_terminated_reason_51 
257, kube_pod_container_status_terminated_reason_52 
258, kube_pod_container_status_terminated_reason_53 
259, kube_pod_container_status_terminated_reason_54 
260, kube_pod_container_status_terminated_reason_55 
261, kube_pod_container_status_terminated_reason_56 
262, kube_pod_container_status_terminated_reason_57 
263, kube_pod_container_status_terminated_reason_58 
264, kube_pod_container_status_terminated_reason_59 
265, kube_pod_container_status_terminated_reason_60 
266, kube_pod_container_status_terminated_reason_61 
267, kube_pod_container_status_terminated_reason_62 
268, kube_pod_container_status_terminated_reason_63 
269, kube_pod_container_status_terminated_reason_64 
270, kube_pod_container_status_terminated_reason_65 
271, kube_pod_container_status_terminated_reason_66 
272, kube_pod_container_status_terminated_reason_67 
273, kube_pod_container_status_terminated_reason_68 
274, kube_pod_container_status_terminated_reason_69 
275, kube_pod_container_status_terminated_reason_70 
276, kube_pod_container_status_terminated_reason_71 
277, kube_pod_container_status_terminated_reason_72 
278, kube_pod_container_status_terminated_reason_73 
279, kube_pod_container_status_terminated_reason_74 
280, kube_pod_container_status_terminated_reason_75 
281, kube_pod_container_status_terminated_reason_76 
282, kube_pod_container_status_terminated_reason_77 
283, kube_pod_container_status_terminated_reason_78 
284, kube_pod_container_status_terminated_reason_79 
285, kube_pod_container_status_terminated_reason_80 
286, kube_pod_container_status_terminated_reason_81 
287, kube_pod_container_status_terminated_reason_82 
288, kube_pod_container_status_terminated_reason_83 
289, kube_pod_container_status_terminated_reason_84 
290, kube_pod_container_status_terminated_reason_85 
291, kube_pod_container_status_terminated_reason_86 
292, kube_pod_container_status_terminated_reason_87 
293, kube_pod_container_status_terminated_reason_88 
294, kube_pod_container_status_terminated_reason_89 
295, kube_pod_container_status_terminated_reason_90 
296, kube_pod_container_status_terminated_reason_91 
297, kube_pod_container_status_terminated_reason_92 
298, kube_pod_container_status_terminated_reason_93 
299, kube_pod_container_status_terminated_reason_94 
300, kube_pod_container_status_terminated_reason_95 
301, kube_pod_container_status_terminated_reason_96 
302, kube_pod_container_status_terminated_reason_97 
303, kube_pod_container_status_terminated_reason_98 
304, kube_pod_container_status_terminated_reason_99 
305, kube_pod_container_status_terminated_reason_100 
306, kube_pod_container_status_terminated_reason_101 
307, kube_pod_container_status_terminated_reason_102 
308, kube_pod_container_status_terminated_reason_103 
309, kube_pod_container_status_terminated_reason_104 
310, kube_pod_container_status_terminated_reason_105 
311, kube_pod_container_status_terminated_reason_106 
312, kube_pod_container_status_terminated_reason_107 
313, kube_pod_container_status_terminated_reason_108 
314, kube_pod_container_status_terminated_reason_109 
315, kube_pod_container_status_terminated_reason_110 
316, kube_pod_container_status_terminated_reason_111 
317, kube_pod_container_status_terminated_reason_112 
318, kube_pod_container_status_terminated_reason_113 
319, kube_pod_container_status_terminated_reason_114 
320, kube_pod_container_status_terminated_reason_115 
321, kube_pod_container_status_terminated_reason_116 
322, kube_pod_container_status_terminated_reason_117 
323, kube_pod_container_status_terminated_reason_118 
324, kube_pod_container_status_terminated_reason_119 
325, kube_pod_container_status_terminated_reason_120 
326, kube_pod_container_status_terminated_reason_121 
327, kube_pod_container_status_terminated_reason_122 
328, kube_pod_container_status_terminated_reason_123 
329, kube_pod_container_status_terminated_reason_124 
330, kube_pod_container_status_terminated_reason_125 
331, kube_pod_container_status_terminated_reason_126 
332, kube_pod_container_status_terminated_reason_127 
333, kube_pod_container_status_terminated_reason_128 
334, kube_pod_container_status_terminated_reason_129 
335, kube_pod_container_status_terminated_reason_130 
336, kube_pod_container_status_terminated_reason_131 
337, node_memory_HugePages_Surp_0 
338, node_memory_HugePages_Surp_1 
339, node_memory_HugePages_Surp_2 
340, java_lang_garbagecollector_committed_lastgcinfo_memoryusageaftergc_g1_young_generation_key_g1_eden_space_0 
341, java_lang_garbagecollector_committed_lastgcinfo_memoryusageaftergc_g1_young_generation_key_g1_eden_space_1 
342, java_lang_garbagecollector_committed_lastgcinfo_memoryusageaftergc_g1_young_generation_key_g1_eden_space_2 
343, java_lang_garbagecollector_id_lastgcinfo_g1_young_generation_0 
344, java_lang_garbagecollector_id_lastgcinfo_g1_young_generation_1 
345, java_lang_garbagecollector_id_lastgcinfo_g1_young_generation_2 
346, kafka_controller_kafkacontroller_preferredreplicaimbalancecount_value_0 
347, kafka_controller_kafkacontroller_preferredreplicaimbalancecount_value_1 
348, kafka_controller_kafkacontroller_preferredreplicaimbalancecount_value_2 
349, prometheus_tsdb_compactions_failed_total_0 
350, grpc_client_started_total_0 
351, grpc_client_started_total_1 
352, grpc_client_started_total_2 
353, grpc_client_started_total_3 
354, grpc_client_started_total_4 
355, kafka_server_sessionexpirelistener_total_zookeeperreadonlyconnectspersec_oneminuterate_0 
356, kafka_server_sessionexpirelistener_total_zookeeperreadonlyconnectspersec_oneminuterate_1 
357, kafka_server_sessionexpirelistener_total_zookeeperreadonlyconnectspersec_oneminuterate_2 
358, alertmanager_oversize_gossip_message_duration_seconds_sum_0 
359, alertmanager_oversize_gossip_message_duration_seconds_sum_1 
360, node_netstat_TcpExt_SyncookiesSent_0 
361, node_netstat_TcpExt_SyncookiesSent_1 
362, node_netstat_TcpExt_SyncookiesSent_2 
363, prometheus_tsdb_head_chunks_created_total_0 
364, java_lang_memorypool_max_peakusage_code_cache_0 
365, java_lang_memorypool_max_peakusage_code_cache_1 
366, java_lang_memorypool_max_peakusage_code_cache_2 
367, prometheus_engine_query_duration_seconds_0 
368, prometheus_engine_query_duration_seconds_1 
369, prometheus_engine_query_duration_seconds_2 
370, prometheus_engine_query_duration_seconds_3 
371, prometheus_engine_query_duration_seconds_4 
372, prometheus_engine_query_duration_seconds_5 
373, prometheus_engine_query_duration_seconds_6 
374, prometheus_engine_query_duration_seconds_7 
375, prometheus_engine_query_duration_seconds_8 
376, prometheus_engine_query_duration_seconds_9 
377, prometheus_engine_query_duration_seconds_10 
378, prometheus_engine_query_duration_seconds_11 
379, coredns_forward_request_duration_seconds_sum_0 
380, coredns_forward_request_duration_seconds_sum_1 
381, java_lang_memorypool_valid_g1_survivor_space_0 
382, java_lang_memorypool_valid_g1_survivor_space_1 
383, java_lang_memorypool_valid_g1_survivor_space_2 
384, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_45_value_0 
385, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_45_value_1 
386, java_lang_memorypool_collectionusagethresholdcount_g1_eden_space_0 
387, java_lang_memorypool_collectionusagethresholdcount_g1_eden_space_1 
388, java_lang_memorypool_collectionusagethresholdcount_g1_eden_space_2 
389, net_conntrack_listener_conn_closed_total_0 
390, java_lang_memorypool_init_usage_code_cache_0 
391, java_lang_memorypool_init_usage_code_cache_1 
392, java_lang_memorypool_init_usage_code_cache_2 
393, prometheus_tsdb_head_series_removed_total_0 
394, kafka_server_sessionexpirelistener_total_zookeepersaslauthenticationspersec_count_0 
395, kafka_server_sessionexpirelistener_total_zookeepersaslauthenticationspersec_count_1 
396, kafka_server_sessionexpirelistener_total_zookeepersaslauthenticationspersec_count_2 
397, prometheus_tsdb_compaction_chunk_samples_count_0 
398, kafka_topic_partition_oldest_offset_0 
399, kafka_topic_partition_oldest_offset_1 
400, kafka_topic_partition_oldest_offset_2 
401, kafka_topic_partition_oldest_offset_3 
402, kafka_topic_partition_oldest_offset_4 
403, kafka_topic_partition_oldest_offset_5 
404, kafka_topic_partition_oldest_offset_6 
405, kafka_topic_partition_oldest_offset_7 
406, kafka_topic_partition_oldest_offset_8 
407, kafka_topic_partition_oldest_offset_9 
408, kafka_topic_partition_oldest_offset_10 
409, kafka_topic_partition_oldest_offset_11 
410, kafka_topic_partition_oldest_offset_12 
411, kafka_topic_partition_oldest_offset_13 
412, kafka_topic_partition_oldest_offset_14 
413, kafka_topic_partition_oldest_offset_15 
414, kafka_topic_partition_oldest_offset_16 
415, kafka_topic_partition_oldest_offset_17 
416, kafka_topic_partition_oldest_offset_18 
417, kafka_topic_partition_oldest_offset_19 
418, kafka_topic_partition_oldest_offset_20 
419, kafka_topic_partition_oldest_offset_21 
420, kafka_topic_partition_oldest_offset_22 
421, kafka_topic_partition_oldest_offset_23 
422, kafka_topic_partition_oldest_offset_24 
423, kafka_topic_partition_oldest_offset_25 
424, kafka_topic_partition_oldest_offset_26 
425, kafka_topic_partition_oldest_offset_27 
426, kafka_topic_partition_oldest_offset_28 
427, kafka_topic_partition_oldest_offset_29 
428, kafka_topic_partition_oldest_offset_30 
429, kafka_topic_partition_oldest_offset_31 
430, kafka_topic_partition_oldest_offset_32 
431, kafka_topic_partition_oldest_offset_33 
432, kafka_topic_partition_oldest_offset_34 
433, kafka_topic_partition_oldest_offset_35 
434, kafka_topic_partition_oldest_offset_36 
435, kafka_topic_partition_oldest_offset_37 
436, kafka_topic_partition_oldest_offset_38 
437, kafka_topic_partition_oldest_offset_39 
438, kafka_topic_partition_oldest_offset_40 
439, kafka_topic_partition_oldest_offset_41 
440, kafka_topic_partition_oldest_offset_42 
441, kafka_topic_partition_oldest_offset_43 
442, kafka_topic_partition_oldest_offset_44 
443, kafka_topic_partition_oldest_offset_45 
444, kafka_topic_partition_oldest_offset_46 
445, kafka_topic_partition_oldest_offset_47 
446, kafka_topic_partition_oldest_offset_48 
447, kafka_topic_partition_oldest_offset_49 
448, kafka_topic_partition_oldest_offset_50 
449, go_memstats_mallocs_total_0 
450, go_memstats_mallocs_total_1 
451, go_memstats_mallocs_total_2 
452, go_memstats_mallocs_total_3 
453, go_memstats_mallocs_total_4 
454, go_memstats_mallocs_total_5 
455, go_memstats_mallocs_total_6 
456, go_memstats_mallocs_total_7 
457, go_memstats_mallocs_total_8 
458, go_memstats_mallocs_total_9 
459, java_lang_memorypool_init_usage_g1_survivor_space_0 
460, java_lang_memorypool_init_usage_g1_survivor_space_1 
461, java_lang_memorypool_init_usage_g1_survivor_space_2 
462, prometheus_sd_gce_refresh_duration_sum_0 
463, alertmanager_silences_queries_total_0 
464, prometheus_tsdb_head_samples_appended_total_0 
465, java_lang_memorypool_used_peakusage_g1_survivor_space_0 
466, java_lang_memorypool_used_peakusage_g1_survivor_space_1 
467, java_lang_memorypool_used_peakusage_g1_survivor_space_2 
468, prometheus_rule_evaluation_duration_seconds_count_0 
469, kube_node_status_allocatable_cpu_cores_0 
470, kube_node_status_allocatable_cpu_cores_1 
471, kube_node_status_allocatable_cpu_cores_2 
472, kube_node_status_allocatable_cpu_cores_3 
473, java_lang_classloading_verbose_0 
474, java_lang_classloading_verbose_1 
475, java_lang_classloading_verbose_2 
476, java_lang_memorypool_committed_collectionusage_g1_eden_space_0 
477, java_lang_memorypool_committed_collectionusage_g1_eden_space_1 
478, java_lang_memorypool_committed_collectionusage_g1_eden_space_2 
479, java_lang_memorypool_max_peakusage_g1_survivor_space_0 
480, java_lang_memorypool_max_peakusage_g1_survivor_space_1 
481, java_lang_memorypool_max_peakusage_g1_survivor_space_2 
482, kafka_server_sessionexpirelistener_total_zookeeperdisconnectspersec_count_0 
483, kafka_server_sessionexpirelistener_total_zookeeperdisconnectspersec_count_1 
484, kafka_server_sessionexpirelistener_total_zookeeperdisconnectspersec_count_2 
485, prometheus_sd_openstack_refresh_duration_seconds_0 
486, prometheus_sd_openstack_refresh_duration_seconds_1 
487, prometheus_sd_openstack_refresh_duration_seconds_2 
488, java_lang_memorypool_valid_code_cache_0 
489, java_lang_memorypool_valid_code_cache_1 
490, java_lang_memorypool_valid_code_cache_2 
491, kafka_server_delayedoperationpurgatory_numdelayedoperations_topic_value_0 
492, kafka_server_delayedoperationpurgatory_numdelayedoperations_topic_value_1 
493, kafka_server_delayedoperationpurgatory_numdelayedoperations_topic_value_2 
494, prometheus_sd_consul_rpc_duration_seconds_sum_0 
495, prometheus_sd_consul_rpc_duration_seconds_sum_1 
496, java_lang_memorypool_max_usage_g1_eden_space_0 
497, java_lang_memorypool_max_usage_g1_eden_space_1 
498, java_lang_memorypool_max_usage_g1_eden_space_2 
499, prometheus_target_scrapes_exceeded_sample_limit_total_0 
500, prometheus_tsdb_lowest_timestamp_0 
501, prometheus_sd_dns_lookups_total_0 
502, java_lang_memory_nonheapmemoryusage_used_0 
503, java_lang_memory_nonheapmemoryusage_used_1 
504, java_lang_memory_nonheapmemoryusage_used_2 
505, node_disk_write_time_seconds_total_0 
506, node_disk_write_time_seconds_total_1 
507, node_disk_write_time_seconds_total_2 
508, node_disk_write_time_seconds_total_3 
509, node_disk_write_time_seconds_total_4 
510, node_disk_write_time_seconds_total_5 
511, java_lang_memorypool_collectionusagethresholdsupported_code_cache_0 
512, java_lang_memorypool_collectionusagethresholdsupported_code_cache_1 
513, java_lang_memorypool_collectionusagethresholdsupported_code_cache_2 
514, node_netstat_TcpExt_ListenDrops_0 
515, node_netstat_TcpExt_ListenDrops_1 
516, node_netstat_TcpExt_ListenDrops_2 
517, alertmanager_alerts_received_total_0 
518, alertmanager_alerts_received_total_1 
519, node_memory_Slab_bytes_0 
520, node_memory_Slab_bytes_1 
521, node_memory_Slab_bytes_2 
522, aggregator_openapi_v2_regeneration_count_0 
523, aggregator_openapi_v2_regeneration_count_1 
524, kube_configmap_created_0 
525, kube_configmap_created_1 
526, kube_configmap_created_2 
527, kube_configmap_created_3 
528, kube_configmap_created_4 
529, kube_configmap_created_5 
530, kube_configmap_created_6 
531, kube_configmap_created_7 
532, kube_configmap_created_8 
533, kube_configmap_created_9 
534, kube_configmap_created_10 
535, kube_configmap_created_11 
536, kube_configmap_created_12 
537, kube_configmap_created_13 
538, kube_configmap_created_14 
539, kube_configmap_created_15 
540, kube_configmap_created_16 
541, kube_configmap_created_17 
542, kube_configmap_created_18 
543, kube_configmap_created_19 
544, kube_configmap_created_20 
545, kube_configmap_created_21 
546, kube_configmap_created_22 
547, kube_configmap_created_23 
548, kube_configmap_created_24 
549, kube_configmap_created_25 
550, kube_configmap_created_26 
551, kube_configmap_created_27 
552, kube_configmap_created_28 
553, kube_configmap_created_29 
554, kube_configmap_created_30 
555, kube_configmap_created_31 
556, kube_configmap_created_32 
557, kube_configmap_created_33 
558, kube_configmap_created_34 
559, kube_configmap_created_35 
560, kube_configmap_created_36 
561, kube_configmap_created_37 
562, kube_configmap_created_38 
563, kube_configmap_created_39 
564, kube_configmap_created_40 
565, kube_configmap_created_41 
566, kube_configmap_created_42 
567, kube_configmap_created_43 
568, kube_configmap_created_44 
569, kube_configmap_created_45 
570, kube_configmap_created_46 
571, kube_configmap_created_47 
572, kube_configmap_created_48 
573, kube_configmap_created_49 
574, workqueue_depth_0 
575, workqueue_depth_1 
576, workqueue_depth_2 
577, workqueue_depth_3 
578, workqueue_depth_4 
579, workqueue_depth_5 
580, workqueue_depth_6 
581, workqueue_depth_7 
582, workqueue_depth_8 
583, workqueue_depth_9 
584, workqueue_depth_10 
585, workqueue_depth_11 
586, workqueue_depth_12 
587, kube_pod_container_resource_limits_cpu_cores_0 
588, kube_pod_container_resource_limits_cpu_cores_1 
589, kube_pod_container_resource_limits_cpu_cores_2 
590, kube_pod_container_resource_limits_cpu_cores_3 
591, kube_pod_container_resource_limits_cpu_cores_4 
592, kube_pod_container_resource_limits_cpu_cores_5 
593, kube_pod_container_resource_limits_cpu_cores_6 
594, kube_pod_container_resource_limits_cpu_cores_7 
595, kube_pod_container_resource_limits_cpu_cores_8 
596, java_lang_memorypool_collectionusagethresholdsupported_g1_old_gen_0 
597, java_lang_memorypool_collectionusagethresholdsupported_g1_old_gen_1 
598, java_lang_memorypool_collectionusagethresholdsupported_g1_old_gen_2 
599, kube_pod_spec_volumes_persistentvolumeclaims_readonly_0 
600, kube_pod_spec_volumes_persistentvolumeclaims_readonly_1 
601, kube_pod_spec_volumes_persistentvolumeclaims_readonly_2 
602, kube_pod_spec_volumes_persistentvolumeclaims_readonly_3 
603, kube_pod_spec_volumes_persistentvolumeclaims_readonly_4 
604, node_time_seconds_0 
605, node_time_seconds_1 
606, node_time_seconds_2 
607, java_lang_garbagecollector_used_lastgcinfo_memoryusagebeforegc_g1_young_generation_key_g1_old_gen_0 
608, java_lang_garbagecollector_used_lastgcinfo_memoryusagebeforegc_g1_young_generation_key_g1_old_gen_1 
609, java_lang_garbagecollector_used_lastgcinfo_memoryusagebeforegc_g1_young_generation_key_g1_old_gen_2 
610, kube_pod_container_status_waiting_0 
611, kube_pod_container_status_waiting_1 
612, kube_pod_container_status_waiting_2 
613, kube_pod_container_status_waiting_3 
614, kube_pod_container_status_waiting_4 
615, kube_pod_container_status_waiting_5 
616, kube_pod_container_status_waiting_6 
617, kube_pod_container_status_waiting_7 
618, kube_pod_container_status_waiting_8 
619, kube_pod_container_status_waiting_9 
620, kube_pod_container_status_waiting_10 
621, kube_pod_container_status_waiting_11 
622, kube_pod_container_status_waiting_12 
623, kube_pod_container_status_waiting_13 
624, kube_pod_container_status_waiting_14 
625, kube_pod_container_status_waiting_15 
626, kube_pod_container_status_waiting_16 
627, kube_pod_container_status_waiting_17 
628, kube_pod_container_status_waiting_18 
629, kube_pod_container_status_waiting_19 
